id,left,top,right,bottom,row_index,col_index,최종_레이블_결과(2)_행정동,최종_레이블_결과(2)_클러스터링,최종_레이블_결과(2)_유동인구,최종_레이블_결과(2)_견인횟수,최종_레이블_결과(2)_유동인구_레이블,최종_레이블_결과(2)_견인횟수_레이블,최종_레이블_결과(2)_유동인구+견인횟수
3108,965465.325880435877480,1949884.899299999931827,965580.795934273977764,1949784.899299999931827,29,54,,,,,,,
3109,965465.325880435877480,1949784.899299999931827,965580.795934273977764,1949684.899299999931827,30,54,,,,,,,
3110,965465.325880435877480,1949684.899299999931827,965580.795934273977764,1949584.899299999931827,31,54,광장동,0,0,0,1,1,4
3111,965465.325880435877480,1949584.899299999931827,965580.795934273977764,1949484.899299999931827,32,54,광장동,0,0,0,1,1,4
3104,965465.325880435877480,1950284.899299999931827,965580.795934273977764,1950184.899299999931827,25,54,,,,,,,
3105,965465.325880435877480,1950184.899299999931827,965580.795934273977764,1950084.899299999931827,26,54,,,,,,,
3106,965465.325880435877480,1950084.899299999931827,965580.795934273977764,1949984.899299999931827,27,54,,,,,,,
3107,965465.325880435877480,1949984.899299999931827,965580.795934273977764,1949884.899299999931827,28,54,,,,,,,
3112,965465.325880435877480,1949484.899299999931827,965580.795934273977764,1949384.899299999931827,33,54,광장동,0,0,0,1,1,4
3095,965465.325880435877480,1951184.899299999931827,965580.795934273977764,1951084.899299999931827,16,54,,,,,,,
3100,965465.325880435877480,1950684.899299999931827,965580.795934273977764,1950584.899299999931827,21,54,,,,,,,
3101,965465.325880435877480,1950584.899299999931827,965580.795934273977764,1950484.899299999931827,22,54,,,,,,,
3102,965465.325880435877480,1950484.899299999931827,965580.795934273977764,1950384.899299999931827,23,54,,,,,,,
3103,965465.325880435877480,1950384.899299999931827,965580.795934273977764,1950284.899299999931827,24,54,,,,,,,
3096,965465.325880435877480,1951084.899299999931827,965580.795934273977764,1950984.899299999931827,17,54,,,,,,,
3097,965465.325880435877480,1950984.899299999931827,965580.795934273977764,1950884.899299999931827,18,54,,,,,,,
3098,965465.325880435877480,1950884.899299999931827,965580.795934273977764,1950784.899299999931827,19,54,,,,,,,
3099,965465.325880435877480,1950784.899299999931827,965580.795934273977764,1950684.899299999931827,20,54,,,,,,,
3324,965811.736041949945502,1951084.899299999931827,965927.206095787812956,1950984.899299999931827,17,58,,,,,,,
3325,965811.736041949945502,1950984.899299999931827,965927.206095787812956,1950884.899299999931827,18,58,,,,,,,
3326,965811.736041949945502,1950884.899299999931827,965927.206095787812956,1950784.899299999931827,19,58,,,,,,,
3327,965811.736041949945502,1950784.899299999931827,965927.206095787812956,1950684.899299999931827,20,58,,,,,,,
3323,965811.736041949945502,1951184.899299999931827,965927.206095787812956,1951084.899299999931827,16,58,,,,,,,
3268,965725.133501571370289,1950934.899299999698997,965840.603555409354158,1950834.899299999931827,18,57,,,,,,,
3269,965725.133501571370289,1950834.899299999931827,965840.603555409354158,1950734.899299999698997,19,57,,,,,,,
3270,965725.133501571370289,1950734.899299999698997,965840.603555409354158,1950634.899299999931827,20,57,,,,,,,
3271,965725.133501571370289,1950634.899299999931827,965840.603555409354158,1950534.899299999698997,21,57,,,,,,,
