동명,주차장명,위도,경도,업체
광장동,광장삼성2차아파트 나동,37.542413,127.101819,Beam
광장동,대교 경정비 건너편,37.541566,127.096836,Beam
광장동,대교 경정비,37.541343,127.096574,Beam
구의1동,구의사거리,37.545064,127.085321,Beam
구의1동,커피 BAY,37.542201,127.083972,Beam
구의1동,박사식당,37.541431,127.083664,Beam
구의1동,KCC웰츠타워,37.538329,127.083404,Beam
구의1동,싸다김밥 구의역점 앞,37.537501,127.083538,Beam
구의3동,구의시장 사거리,37.54453,127.090918,Beam
구의3동,롯데리아 동서울터미널점 맞은편,37.534675,127.094719,Beam
구의3동,강변역,37.536173,127.094181,Beam
구의3동,세양아파트,37.537588,127.093497,Beam
구의3동,비바힐스 강변,37.535121,127.09151,Beam
구의3동,대박집앞,37.538116,127.089644,Beam
구의3동,버거킹 구의점,37.540006,127.093982,Beam
구의3동,SC제일은행 광장동지점,37.54051,127.094917,Beam
구의3동,현대자동차 구의점,37.541973,127.094853,Beam
구의3동,구의동 우성식품 앞,37.542473,127.094349,Beam
구의3동,신덕하이빌 아파트 앞,37.54249,127.090197,Beam
구의3동,강변역 4번출구 앞,37.535243,127.094464,Beam
군자동,셀렉토커피 군자역점,37.557841,127.07978,Beam
군자동,군자역 8번출구 수협 앞 ,37.5574,127.078392,Beam
군자동,국민은행 군자역지점,37.555689,127.07847,Beam
군자동,세종대학교 영실관,37.552103,127.073,Beam
군자동,세종대학교 학술정보원,37.551176,127.0741,Beam
군자동,세종대학교 광개토관,37.550105,127.073479,Beam
군자동,세종대학교 집현관,37.54922,127.0741,Beam
군자동,투썸플레이스 세종대점,37.550383,127.075849,Beam
군자동,세종스포츠정형외과의원,37.55093,127.076176,Beam
군자동,어린이대공원역 5번출구 뒷편,37.547996,127.074501,Beam
군자동,육회2990 군자점 앞,37.548166,127.070298,Beam
군자동,영성생활관 뒷편,37.550084,127.104732,Beam
능동,세종대학교 정문,37.549111,127.075205,Beam
능동,어린이대공원역 2번 출구,37.547127,127.075021,Beam
능동,국민은행 구의동지점 앞,37.545024,127.087869,Beam
자양1동,서울굿모닝내과,37.5332146,127.0762218,Beam
자양1동,할매순대국,37.5324828,127.0785747,Beam
자양1동,이튼플러스치과,37.5322128,127.0795486,Beam
자양1동,느티나무약국,37.5356457,127.0836106,Beam
자양1동,구의현대홈시티,37.5374247,127.0830692,Beam
자양1동,향만원 건너편,37.5383082,127.0810743,Beam
자양1동,자양 하늘채베르 근린생활시설 앞,37.5420218,127.0855712,Beam
자양1동,신선설농탕 자양점,37.5402689,127.0829697,Beam
자양2동,자양나들목,37.5297299,127.0749769,Beam
자양2동,평화전기조명,37.5325505,127.0773277,Beam
자양2동,해맑은동물병원,37.5315966,127.0839381,Beam
자양2동,기아 광진점,37.5358295,127.084207,Beam
자양3동,coffee the sol,37.5329888,127.0680604,Beam
자양3동,이튼타워리버5차,37.5321852,127.0690312,Beam
자양3동,자양우성1차아파트 106동,37.5344086,127.0755737,Beam
자양3동,자양우성4차아파트,37.5351857,127.0757955,Beam
자양3동,LG 베스트 샾,37.5378993,127.0763301,Beam
자양3동,중앙농협 건대점,37.5382134,127.0755469,Beam
자양3동,스타시티몰 2,37.5378028,127.0726322,Beam
자양3동,스타시티몰,37.5378028,127.0726322,Beam
자양3동,건대입구 롯데백화점 앞,37.5387882,127.0711369,Beam
자양3동,롯데백화점 건대점,37.5387882,127.0711369,Beam
자양3동,건대 롯데백화점,37.5387882,127.0711369,Beam
자양3동,광진문화예술회관(1),37.5375194,127.0706501,Beam
자양3동,광진문화예술회관(2),37.5375194,127.0706501,Beam
자양4동,건대 커먼그라운드,37.5411513,127.0659498,Beam
화양동,건대역 3번출구 방면 ,37.540837,127.071245,Beam
화양동,의생명과학연구관/생명과학관 사이 횡단보도,37.540203,127.072706,Beam
화양동,건국대학교 병원,37.539385,127.072277,Beam
화양동,KU융합과학기술원 주차 구역,37.541161,127.073867,Beam
화양동,향만원 건너편,37.538154,127.081057,Beam
화양동,신공학관,37.540452,127.078913,Beam
화양동,건국대학교학생회관 자전거 거치대,37.540626,127.078481,Beam
화양동,공학관A동,37.540785,127.07883,Beam
화양동,새천년관 자전거 거치대,37.542137,127.07793,Beam
화양동,건대 교육과학관,37.543999,127.074207,Beam
화양동,어린이 대공원 부근 가츠시,37.546446,127.075817,Beam
화양동,피자유니온,37.545763,127.07735,Beam
화양동,장수 분식 맞은편(구 예술의 전당),37.543401,127.072321,Beam
화양동,요거프레소 건대점,37.545453,127.076568,Beam
화양동,하나은행 화양동지점,37.548236,127.067516,Beam
화양동,건대입구 국민은행,37.54125762,127.0671208,Beam
화양동,성수사거리 기아 성수지점 앞,37.5422156,127.0641864,Beam
화양동,좋은이웃교회 오른편,37.54396697,127.065119,Beam
화양동,치아미치과,37.54511904,127.0657295,Beam
자양3동,뚝섬유원지역 1번 출구 부근,37.532187,127.067276,스윙
화양동,건대입구역 4번출구 앞 자전거 거치대,37.539966,127.071014,스윙
화양동,건대입구역 3번출구,37.540814,127.071222,스윙
화양동,서울교통공사기술관리소앞,37.541336,127.071465,스윙
화양동,건대 상허문 경비실앞,37.539634,127.072438,스윙
화양동,건국대학교 산학협동관,37.53966,127.073218,스윙
화양동,건국대학교 생명과학관,37.540991,127.074055,스윙
화양동,건국대학교 예술문화관,37.542865,127.072926,스윙
화양동,성수 테라팰리스 앞,37.538096,127.077624,스윙
화양동,건국대학교 신공학관,37.540634,127.079475,스윙
화양동,건국대학교 공학관,37.542076,127.078779,스윙
화양동,건국대학교 새천년관,37.543716,127.077114,스윙
화양동,건국대학교 교육과학관,37.544015,127.074213,스윙
화양동,건국대학교 경영관,37.544285,127.07607,스윙
