번호,구정보,신고일,조치일,주소,유형,위도,경도
1,광진구,2023-01-17,2023-01-17,서울특별시 광진구 중곡동 266-1,보도와 차도가 구분된 도로의 차도,37.5655538,127.0865745
2,광진구,2023-01-17,2023-01-17,서울특별시 광진구 광장동 551,보도와 차도가 구분된 도로의 차도,37.5459758,127.1050515
3,광진구,2023-01-18,2023-01-18,서울특별시 광진구 자양동 204-1,기타,37.5367608,127.0832751
4,광진구,2023-01-18,2023-01-18,서울특별시 광진구 구의동 546-4,보도 중앙,37.5356993,127.095765
5,광진구,2023-01-18,2023-01-18,서울특별시 광진구 구의동 546-4,보도 중앙,37.5356993,127.095765
6,광진구,2023-01-18,2023-01-18,서울특별시 광진구 군자동 313,자전거 도로,37.5518104,127.0765659
7,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 243-66,보도와 차도가 구분된 도로의 차도,37.5375938,127.0870344
8,광진구,2023-01-19,2023-01-19,서울특별시 광진구 중곡동 266-1,"버스정류장, 택시 승강장",37.5655538,127.0865745
9,광진구,2023-01-19,2023-01-19,서울특별시 광진구 중곡동 280-4,보도와 차도가 구분된 도로의 차도,37.5627804,127.0809336
10,광진구,2023-01-19,2023-01-19,서울특별시 광진구 중곡동 273-1,보도 중앙,37.565831,127.08425
11,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 235-19,보도 중앙,37.5437086,127.0854003
12,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-24,보도와 차도가 구분된 도로의 차도,37.5428643,127.0846576
13,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도와 차도가 구분된 도로의 차도,37.5423292,127.0842232
14,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도와 차도가 구분된 도로의 차도,37.5423292,127.0842232
15,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도 중앙,37.5423292,127.0842232
16,광진구,2023-01-19,2023-01-19,서울특별시 광진구 구의동 236-21,보도와 차도가 구분된 도로의 차도,37.5423292,127.0842232
17,광진구,2023-01-20,2023-01-20,서울특별시 광진구 광장동 322-6,"횡단보도, 산책로 등",37.5471989,127.1076351
18,광진구,2023-01-20,2023-01-20,서울특별시 광진구 화양동 6-1,자전거 도로,37.5403776,127.0705256
19,광진구,2023-01-20,2023-01-31,서울특별시 광진구 군자동 243,보도와 차도가 구분된 도로의 차도,37.5527854,127.0767872
20,광진구,2023-01-26,2023-01-26,서울특별시 광진구 중곡동 273-1,"횡단보도, 산책로 등",37.565831,127.08425
21,광진구,2023-01-26,2023-01-26,서울특별시 광진구 자양동 722,보도 중앙,37.5330768,127.0849946
22,광진구,2023-01-26,2023-01-26,서울특별시 광진구 화양동 164-9,보도 중앙,37.5425437,127.0718327
23,광진구,2023-01-26,2023-01-26,서울특별시 광진구 자양동 859,"점자블록, 엘리베이터 입구",37.5377045,127.0815286
24,광진구,2023-01-26,2023-01-26,서울특별시 광진구 구의동 253-53,보도 중앙,37.5449188,127.0836199
25,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
26,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
27,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
28,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
29,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
30,광진구,2023-01-26,2023-01-26,서울특별시 광진구 능동 339-2,보도 중앙,37.5493448,127.0754819
31,광진구,2023-01-26,2023-01-26,서울특별시 광진구 중곡동 273-1,보도와 차도가 구분된 도로의 차도,37.565831,127.08425
32,광진구,2023-01-26,2023-01-26,서울특별시 광진구 광장동 396-5,보도 중앙,37.5452728,127.1020374
33,광진구,2023-01-30,2023-01-31,서울특별시 광진구 자양동 710-1,보도 중앙,37.5355482,127.0839566
34,광진구,2023-01-30,2023-01-31,서울특별시 광진구 자양동 710-1,보도 중앙,37.5355482,127.0839566
35,광진구,2023-01-30,2023-01-31,서울특별시 광진구 능동 18,보도 중앙,37.5495886,127.081578
36,광진구,2023-01-30,2023-01-31,서울특별시 광진구 능동 18,보도 중앙,37.5495886,127.081578
37,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 43-56,"버스정류장, 택시 승강장",37.5335436,127.0675907
38,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 855-2,"횡단보도, 산책로 등",37.5328185,127.0683211
39,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 856,"횡단보도, 산책로 등",37.5321852,127.0690312
40,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 854-3,"횡단보도, 산책로 등",37.5327534,127.0674782
41,광진구,2023-01-31,2023-01-31,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
42,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 246-3,보도 중앙,37.5375471,127.0863769
43,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-14,보도와 차도가 구분된 도로의 차도,37.5376024,127.0865804
44,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 245-24,보도와 차도가 구분된 도로의 차도,37.5380692,127.0890292
45,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-14,보도와 차도가 구분된 도로의 차도,37.5376024,127.0865804
46,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-7,보도와 차도가 구분된 도로의 차도,37.5376233,127.0867582
47,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 243-14,보도와 차도가 구분된 도로의 차도,37.5376024,127.0865804
48,광진구,2023-01-31,2023-01-31,서울특별시 광진구 구의동 546-4,보도와 차도가 구분된 도로의 차도,37.5356993,127.095765
49,광진구,2023-02-02,2023-02-02,서울특별시 광진구 광장동 580,보도 중앙,37.5449476,127.1030064
50,광진구,2023-02-02,2023-02-02,서울특별시 광진구 중곡동 266-1,"횡단보도, 산책로 등",37.5655538,127.0865745
51,광진구,2023-02-02,2023-02-02,서울특별시 광진구 광장동 580,보도 중앙,37.5449476,127.1030064
52,광진구,2023-02-02,2023-02-02,서울특별시 광진구 구의동 252-131,"버스정류장, 택시 승강장",37.5389421,127.0834499
53,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
54,광진구,2023-02-03,2023-02-03,서울특별시 광진구 화양동 111-196,보도와 차도가 구분된 도로의 차도,37.5467783,127.0746322
55,광진구,2023-02-03,2023-02-03,서울특별시 광진구 군자동 374-21,보도와 차도가 구분된 도로의 차도,37.5473453,127.0743501
56,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
57,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
58,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 18-43,보도와 차도가 구분된 도로의 차도,37.5474429,127.0754399
59,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
60,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
61,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
62,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
63,광진구,2023-02-03,2023-02-03,서울특별시 광진구 능동 463-1,보도와 차도가 구분된 도로의 차도,37.5476115,127.0746156
64,광진구,2023-02-03,2023-02-03,서울특별시 광진구 자양동 855,보도와 차도가 구분된 도로의 차도,37.5329888,127.0680604
65,광진구,2023-02-03,2023-02-03,서울특별시 광진구 자양동 854-3,보도와 차도가 구분된 도로의 차도,37.5327534,127.0674782
66,광진구,2023-02-03,2023-02-03,서울특별시 광진구 자양동 855,보도와 차도가 구분된 도로의 차도,37.5329888,127.0680604
